Epoch;Iteration;Learning Rate;Training-loss;Test-loss;Validation-loss;Training-accuracy;Test-accuracy;Validation-Accuracy
60;-1;0.0010892562727272727;0.0;0.0;0.10721700905236059;0.0;0.0;0.4315503239631653
61;-1;0.0010907438772727273;0.0;0.0;0.10718653886009352;0.0;0.0;0.43336355686187744
62;-1;0.0010922314818181819;0.0;0.0;0.10715666728048337;0.0;0.0;0.43336355686187744
63;-1;0.0010937190863636365;0.0;0.0;0.10712737949767193;0.0;0.0;0.4342701733112335
64;-1;0.0010952066909090908;0.0;0.0;0.10709866128611403;0.0;0.0;0.4351767897605896
65;-1;0.0010966942954545454;0.0;0.0;0.10707049897103864;0.0;0.0;0.4351767897605896
66;-1;0.0010981819;0.0;0.0;0.10704287939221332;0.0;0.0;0.4360834062099457
67;-1;0.0010996695045454546;0.0;0.0;0.10701578987072659;0.0;0.0;0.4360834062099457
68;-1;0.001101157109090909;0.0;0.0;0.10698921817852473;0.0;0.0;0.4360834062099457
69;-1;0.0011026447136363636;0.0;0.0;0.10696315251046425;0.0;0.0;0.4360834062099457
70;-1;0.0011041323181818182;0.0;0.0;0.1069375814586613;0.0;0.0;0.4360834062099457
71;-1;0.0011056199227272728;0.0;0.0;0.10691249398893576;0.0;0.0;0.4360834062099457
72;-1;0.0011071075272727272;0.0;0.0;0.10688787941917201;0.0;0.0;0.43699002265930176
73;-1;0.0011085951318181818;0.0;0.0;0.1068637273994211;0.0;0.0;0.43699002265930176
74;-1;0.0011100827363636364;0.0;0.0;0.10684002789360408;0.0;0.0;0.43699002265930176
75;-1;0.001111570340909091;0.0;0.0;0.10681677116266278;0.0;0.0;0.43699002265930176
76;-1;0.0011130579454545454;0.0;0.0;0.10679394774904442;0.0;0.0;0.43789663910865784
77;-1;0.00111454555;0.0;0.0;0.10677154846239412;0.0;0.0;0.43789663910865784
78;-1;0.0011160331545454546;0.0;0.0;0.10674956436635644;0.0;0.0;0.43789663910865784
79;-1;0.0011175207590909092;0.0;0.0;0.10672798676638352;0.0;0.0;0.4388032555580139
80;-1;0.0011190083636363638;0.0;0.0;0.10670680719846747;0.0;0.0;0.4388032555580139
81;-1;0.0011204959681818181;0.0;0.0;0.1066860174187126;0.0;0.0;0.43789663910865784
82;-1;0.0011219835727272727;0.0;0.0;0.10666560939367613;0.0;0.0;0.43699002265930176
83;-1;0.0011234711772727273;0.0;0.0;0.10664557529140946;0.0;0.0;0.4360834062099457
84;-1;0.0011249587818181817;0.0;0.0;0.10662590747314096;0.0;0.0;0.4360834062099457
85;-1;0.0011264463863636363;0.0;0.0;0.1066065984855439;0.0;0.0;0.4351767897605896
86;-1;0.001127933990909091;0.0;0.0;0.1065876410535366;0.0;0.0;0.4351767897605896
87;-1;0.0011294215954545455;0.0;0.0;0.10656902807357381;0.0;0.0;0.4351767897605896
88;-1;0.0011309091999999999;0.0;0.0;0.10655075260738371;0.0;0.0;0.4351767897605896
89;-1;0.0011323968045454545;0.0;0.0;0.10653280787611095;0.0;0.0;0.4351767897605896
90;-1;0.001133884409090909;0.0;0.0;0.10651518725483645;0.0;0.0;0.4360834062099457
91;-1;0.0011353720136363637;0.0;0.0;0.10649788426743677;0.0;0.0;0.43699002265930176
92;-1;0.0011368596181818183;0.0;0.0;0.10648089258175655;0.0;0.0;0.43699002265930176
93;-1;0.0011383472227272727;0.0;0.0;0.1064642060050679;0.0;0.0;0.43789663910865784
94;-1;0.0011398348272727273;0.0;0.0;0.10644781847979189;0.0;0.0;0.4406164884567261
95;-1;0.0011413224318181819;0.0;0.0;0.10643172407946107;0.0;0.0;0.4406164884567261
96;-1;0.0011428100363636362;0.0;0.0;0.10641591700490347;0.0;0.0;0.4406164884567261
97;-1;0.0011442976409090908;0.0;0.0;0.10640039158062663;0.0;0.0;0.44152310490608215
98;-1;0.0011457852454545454;0.0;0.0;0.10638514225139277;0.0;0.0;0.4406164884567261
99;-1;0.00114727285;0.0;0.0;0.10637016357896115;0.0;0.0;0.4406164884567261
100;-1;0.0011487604545454546;0.0;0.0;0.10635545023899;0.0;0.0;0.4406164884567261
101;-1;0.001150248059090909;0.0;0.0;0.10634099701808294;0.0;0.0;0.4406164884567261
102;-1;0.0011517356636363636;0.0;0.0;0.10632679881097165;0.0;0.0;0.43970987200737
103;-1;0.0011532232681818182;0.0;0.0;0.10631285061781923;0.0;0.0;0.43970987200737
104;-1;0.0011547108727272726;0.0;0.0;0.1062991475416401;0.0;0.0;0.43970987200737
105;-1;0.0011561984772727272;0.0;0.0;0.10628568478582501;0.0;0.0;0.43970987200737
106;-1;0.0011576860818181818;0.0;0.0;0.10627245765176514;0.0;0.0;0.4406164884567261
107;-1;0.0011591736863636364;0.0;0.0;0.1062594615365657;0.0;0.0;0.4433363676071167
108;-1;0.001160661290909091;0.0;0.0;0.10624669193084553;0.0;0.0;0.4433363676071167
109;-1;0.0011621488954545456;0.0;0.0;0.1062341444166158;0.0;0.0;0.4433363676071167
110;-1;0.0011636365;0.0;0.0;0.10622181466523024;0.0;0.0;0.4442429840564728
111;-1;0.0011651241045454543;0.0;0.0;0.10620969843540685;0.0;0.0;0.4442429840564728
112;-1;0.001166611709090909;0.0;0.0;0.10619779157131014;0.0;0.0;0.44605621695518494
113;-1;0.0011680993136363635;0.0;0.0;0.10618609000069897;0.0;0.0;0.44605621695518494
114;-1;0.0011695869181818181;0.0;0.0;0.10617458973312423;0.0;0.0;0.44968268275260925
115;-1;0.0011710745227272727;0.0;0.0;0.10616328685818537;0.0;0.0;0.44968268275260925
116;-1;0.0011725621272727273;0.0;0.0;0.10615217754383398;0.0;0.0;0.4514959156513214
117;-1;0.0011740497318181817;0.0;0.0;0.1061412580347258;0.0;0.0;0.45058929920196533
118;-1;0.0011755373363636363;0.0;0.0;0.10613052465061595;0.0;0.0;0.45058929920196533
119;-1;0.001177024940909091;0.0;0.0;0.10611997378479857;0.0;0.0;0.4514959156513214
120;-1;0.0011785125454545453;0.0;0.0;0.10610960190258616;0.0;0.0;0.4514959156513214
121;-1;0.00118000015;0.0;0.0;0.106099405539826;0.0;0.0;0.4524025321006775
122;-1;0.0011814877545454545;0.0;0.0;0.10608938130145391;0.0;0.0;0.4524025321006775
123;-1;0.001182975359090909;0.0;0.0;0.10607952586008321;0.0;0.0;0.45330914855003357
124;-1;0.0011844629636363635;0.0;0.0;0.10606983595462678;0.0;0.0;0.45421576499938965
125;-1;0.0011859505681818183;0.0;0.0;0.1060603083889497;0.0;0.0;0.4514959156513214
126;-1;0.0011874381727272727;0.0;0.0;0.1060509400305553;0.0;0.0;0.45058929920196533
127;-1;0.0011889257772727273;0.0;0.0;0.10604172780929846;0.0;0.0;0.4514959156513214
128;-1;0.0011904133818181816;0.0;0.0;0.1060326687161264;0.0;0.0;0.4514959156513214
129;-1;0.0011919009863636362;0.0;0.0;0.10602375980185143;0.0;0.0;0.4514959156513214
130;-1;0.0011933885909090908;0.0;0.0;0.10601499817594327;0.0;0.0;0.44968268275260925
131;-1;0.0011948761954545454;0.0;0.0;0.10600638100535408;0.0;0.0;0.44968268275260925
132;-1;0.0011963638;0.0;0.0;0.10599790551336188;0.0;0.0;0.44968268275260925
133;-1;0.0011978514045454544;0.0;0.0;0.1059895689784427;0.0;0.0;0.44968268275260925
134;-1;0.001199339009090909;0.0;0.0;0.10598136873316413;0.0;0.0;0.45058929920196533
135;-1;0.0012008266136363636;0.0;0.0;0.10597330216309966;0.0;0.0;0.4514959156513214
136;-1;0.0012023142181818182;0.0;0.0;0.10596536670576882;0.0;0.0;0.4514959156513214
137;-1;0.0012038018227272726;0.0;0.0;0.10595755984959593;0.0;0.0;0.4524025321006775
138;-1;0.0012052894272727272;0.0;0.0;0.10594987913289058;0.0;0.0;0.45330914855003357
139;-1;0.0012067770318181818;0.0;0.0;0.10594232214284856;0.0;0.0;0.45330914855003357
140;-1;0.0012082646363636364;0.0;0.0;0.10593488651457203;0.0;0.0;0.45330914855003357
141;-1;0.0012097522409090908;0.0;0.0;0.10592756993011011;0.0;0.0;0.45330914855003357
142;-1;0.0012112398454545454;0.0;0.0;0.10592037011751795;0.0;0.0;0.45330914855003357
143;-1;0.00121272745;0.0;0.0;0.10591328484993362;0.0;0.0;0.45330914855003357
144;-1;0.0012142150545454546;0.0;0.0;0.10590631194467445;0.0;0.0;0.45330914855003357
145;-1;0.001215702659090909;0.0;0.0;0.1058994492623497;0.0;0.0;0.45421576499938965
146;-1;0.0012171902636363635;0.0;0.0;0.1058926947059924;0.0;0.0;0.4560289978981018
147;-1;0.0012186778681818181;0.0;0.0;0.10588604622020557;0.0;0.0;0.4560289978981018
148;-1;0.0012201654727272727;0.0;0.0;0.10587950179032798;0.0;0.0;0.4569356441497803
149;-1;0.0012216530772727271;0.0;0.0;0.105873059441615;0.0;0.0;0.4569356441497803
150;-1;0.0012231406818181817;0.0;0.0;0.10586671723843412;0.0;0.0;0.45784226059913635
151;-1;0.0012246282863636363;0.0;0.0;0.10586047328347888;0.0;0.0;0.45784226059913635
152;-1;0.001226115890909091;0.0;0.0;0.10585432571699561;0.0;0.0;0.45874887704849243
153;-1;0.0012276034954545453;0.0;0.0;0.10584827271602804;0.0;0.0;0.4596554934978485
154;-1;0.0012290911;0.0;0.0;0.10584231249367416;0.0;0.0;0.4605621099472046
155;-1;0.0012305787045454545;0.0;0.0;0.10583644329835844;0.0;0.0;0.4605621099472046
156;-1;0.001232066309090909;0.0;0.0;0.10583066341311918;0.0;0.0;0.4596554934978485
157;-1;0.0012335539136363637;0.0;0.0;0.10582497115490916;0.0;0.0;0.4596554934978485
158;-1;0.001235041518181818;0.0;0.0;0.10581936487391036;0.0;0.0;0.4596554934978485
159;-1;0.0012365291227272727;0.0;0.0;0.10581384295286184;0.0;0.0;0.4596554934978485
160;-1;0.0012380167272727273;0.0;0.0;0.10580840380640087;0.0;0.0;0.4605621099472046
161;-1;0.0012395043318181819;0.0;0.0;0.10580304588041811;0.0;0.0;0.4605621099472046
162;-1;0.0012409919363636362;0.0;0.0;0.10579776765142379;0.0;0.0;0.4605621099472046
163;-1;0.0012424795409090908;0.0;0.0;0.10579256762592783;0.0;0.0;0.46146872639656067
164;-1;0.0012439671454545454;0.0;0.0;0.10578744433983223;0.0;0.0;0.46237534284591675
165;-1;0.00124545475;0.0;0.0;0.10578239635783472;0.0;0.0;0.46237534284591675
166;-1;0.0012469423545454544;0.0;0.0;0.10577742227284521;0.0;0.0;0.4641885757446289
167;-1;0.001248429959090909;0.0;0.0;0.10577252070541344;0.0;0.0;0.465095192193985
168;-1;0.0012499175636363636;0.0;0.0;0.10576769030316728;0.0;0.0;0.465095192193985
169;-1;0.001251405168181818;0.0;0.0;0.10576292974026459;0.0;0.0;0.465095192193985
170;-1;0.0012528927727272726;0.0;0.0;0.10575823771685346;0.0;0.0;0.465095192193985
171;-1;0.0012543803772727272;0.0;0.0;0.10575361295854548;0.0;0.0;0.465095192193985
172;-1;0.0012558679818181818;0.0;0.0;0.10574905421589731;0.0;0.0;0.465095192193985
173;-1;0.0012573555863636364;0.0;0.0;0.10574456026390515;0.0;0.0;0.465095192193985
174;-1;0.001258843190909091;0.0;0.0;0.10574012990150804;0.0;0.0;0.465095192193985
175;-1;0.0012603307954545454;0.0;0.0;0.10573576195110054;0.0;0.0;0.465095192193985
176;-1;0.0012618184;0.0;0.0;0.10573145525805776;0.0;0.0;0.465095192193985
177;-1;0.0012633060045454546;0.0;0.0;0.10572720869026762;0.0;0.0;0.465095192193985
178;-1;0.001264793609090909;0.0;0.0;0.10572302113767326;0.0;0.0;0.465095192193985
179;-1;0.0012662812136363636;0.0;0.0;0.10571889151182552;0.0;0.0;0.465095192193985
180;-1;0.0012677688181818181;0.0;0.0;0.10571481874544356;0.0;0.0;0.465095192193985
181;-1;0.0012692564227272727;0.0;0.0;0.10571080179198511;0.0;0.0;0.465095192193985
182;-1;0.0012707440272727271;0.0;0.0;0.10570683962522559;0.0;0.0;0.465095192193985
183;-1;0.0012722316318181817;0.0;0.0;0.10570293123884447;0.0;0.0;0.46600180864334106
184;-1;0.0012737192363636363;0.0;0.0;0.10569907564602317;0.0;0.0;0.46690842509269714
185;-1;0.0012752068409090907;0.0;0.0;0.1056952718790473;0.0;0.0;0.46690842509269714
186;-1;0.0012766944454545453;0.0;0.0;0.10569151898891922;0.0;0.0;0.46690842509269714
187;-1;0.00127818205;0.0;0.0;0.10568781604497968;0.0;0.0;0.4678150415420532
188;-1;0.0012796696545454545;0.0;0.0;0.10568416213453467;0.0;0.0;0.4678150415420532
189;-1;0.001281157259090909;0.0;0.0;0.1056805563624912;0.0;0.0;0.46690842509269714
190;-1;0.0012826448636363637;0.0;0.0;0.10567699785100193;0.0;0.0;0.46690842509269714
191;-1;0.001284132468181818;0.0;0.0;0.10567348573911439;0.0;0.0;0.46690842509269714
192;-1;0.0012856200727272727;0.0;0.0;0.10567001918242835;0.0;0.0;0.4678150415420532
193;-1;0.0012871076772727273;0.0;0.0;0.10566659735276301;0.0;0.0;0.4678150415420532
194;-1;0.0012885952818181817;0.0;0.0;0.10566321943782683;0.0;0.0;0.4678150415420532
195;-1;0.0012900828863636363;0.0;0.0;0.10565988464089766;0.0;0.0;0.4678150415420532
196;-1;0.0012915704909090909;0.0;0.0;0.10565659218050567;0.0;0.0;0.46690842509269714
197;-1;0.0012930580954545455;0.0;0.0;0.10565334129012907;0.0;0.0;0.46690842509269714
198;-1;0.0012945456999999998;0.0;0.0;0.10565013121788873;0.0;0.0;0.46690842509269714
199;-1;0.0012960333045454544;0.0;0.0;0.10564696122625422;0.0;0.0;0.46690842509269714
200;-1;0.001297520909090909;0.0;0.0;0.10564383059175504;0.0;0.0;0.46690842509269714
201;-1;0.0012990085136363634;0.0;0.0;0.10564073860469604;0.0;0.0;0.46690842509269714
202;-1;0.001300496118181818;0.0;0.0;0.10563768456888005;0.0;0.0;0.46690842509269714
203;-1;0.0013019837227272726;0.0;0.0;0.10563466780133808;0.0;0.0;0.465095192193985
204;-1;0.0013034713272727272;0.0;0.0;0.10563168763206096;0.0;0.0;0.465095192193985
205;-1;0.0013049589318181818;0.0;0.0;0.10562874340374026;0.0;0.0;0.465095192193985
206;-1;0.0013064465363636364;0.0;0.0;0.1056258344715123;0.0;0.0;0.46600180864334106
207;-1;0.0013079341409090908;0.0;0.0;0.1056229602027095;0.0;0.0;0.46600180864334106
208;-1;0.0013094217454545454;0.0;0.0;0.10562011997661508;0.0;0.0;0.46600180864334106
209;-1;0.00131090935;0.0;0.0;0.10561731318422368;0.0;0.0;0.46600180864334106
210;-1;0.0013123969545454544;0.0;0.0;0.10561453922800676;0.0;0.0;0.46600180864334106
211;-1;0.001313884559090909;0.0;0.0;0.10561179752168409;0.0;0.0;0.46600180864334106
212;-1;0.0013153721636363636;0.0;0.0;0.10560908748999762;0.0;0.0;0.46600180864334106
213;-1;0.0013168597681818182;0.0;0.0;0.10560640856849206;0.0;0.0;0.46600180864334106
214;-1;0.0013183473727272728;0.0;0.0;0.10560376020329922;0.0;0.0;0.46600180864334106
215;-1;0.0013198349772727271;0.0;0.0;0.1056011418509274;0.0;0.0;0.46600180864334106
216;-1;0.0013213225818181817;0.0;0.0;0.1055985529780537;0.0;0.0;0.465095192193985
217;-1;0.0013228101863636363;0.0;0.0;0.10559599306132304;0.0;0.0;0.46600180864334106
218;-1;0.0013242977909090907;0.0;0.0;0.10559346158714909;0.0;0.0;0.465095192193985
219;-1;0.0013257853954545453;0.0;0.0;0.1055909580515209;0.0;0.0;0.465095192193985
220;-1;0.001327273;0.0;0.0;0.10558848195981264;0.0;0.0;0.465095192193985
221;-1;0.0013257853954545453;0.0;0.0;0.10558547044974595;0.0;0.0;0.4641885757446289
222;-1;0.0013242977909090907;0.0;0.0;0.10558249238400592;0.0;0.0;0.4641885757446289
223;-1;0.0013228101863636363;0.0;0.0;0.10557954677431197;0.0;0.0;0.4641885757446289
224;-1;0.0013213225818181817;0.0;0.0;0.10557663270644822;0.0;0.0;0.4641885757446289
225;-1;0.0013198349772727271;0.0;0.0;0.10557374937469537;0.0;0.0;0.465095192193985
226;-1;0.0013183473727272728;0.0;0.0;0.1055708960498889;0.0;0.0;0.4641885757446289
227;-1;0.0013168597681818182;0.0;0.0;0.10556807205815814;0.0;0.0;0.4641885757446289
228;-1;0.0013153721636363636;0.0;0.0;0.1055652767667337;0.0;0.0;0.4632819592952728
229;-1;0.001313884559090909;0.0;0.0;0.10556250957442849;0.0;0.0;0.4632819592952728
230;-1;0.0013123969545454544;0.0;0.0;0.10555976990521908;0.0;0.0;0.4641885757446289
231;-1;0.00131090935;0.0;0.0;0.10555705720387722;0.0;0.0;0.465095192193985
232;-1;0.0013094217454545454;0.0;0.0;0.10555437093296856;0.0;0.0;0.465095192193985
233;-1;0.0013079341409090908;0.0;0.0;0.10555171057075606;0.0;0.0;0.465095192193985
234;-1;0.0013064465363636362;0.0;0.0;0.1055490756097104;0.0;0.0;0.4641885757446289
235;-1;0.0013049589318181818;0.0;0.0;0.10554646555541987;0.0;0.0;0.4641885757446289
236;-1;0.0013034713272727272;0.0;0.0;0.10554387992577638;0.0;0.0;0.4641885757446289
237;-1;0.0013019837227272726;0.0;0.0;0.1055413182503399;0.0;0.0;0.4641885757446289
238;-1;0.001300496118181818;0.0;0.0;0.10553878006982818;0.0;0.0;0.4641885757446289
239;-1;0.0012990085136363634;0.0;0.0;0.10553626493569082;0.0;0.0;0.465095192193985
240;-1;0.001297520909090909;0.0;0.0;0.105533772409743;0.0;0.0;0.465095192193985
